,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist,genre
17,I Fall To Pieces - Single Version,Sweet Dreams: Her Complete Decca Masters (1960-1963),Patsy Cline,2010-01-01,167693,0,0.884,0.555,0.218,7.36e-05,0.289,-11.793,0.0319,111.584,0.612,A#/Bb,4,1960s,country
18,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",At Folsom Prison (Legacy Edition),Johnny Cash,1968,156426,0,0.0215,0.594,0.577,0.00792,0.883,-12.772,0.0534,110.783,0.89,C,4,1960s,country
19,Stop the World (And Let Me Off),RCA Country Legends: Waylon Jennings,Waylon Jennings,2001,122693,0,0.498,0.407,0.816,0.0885,0.116,-4.821,0.0389,87.578,0.779,D,4,1960s,country
20,Stand By Your Man,Stand By Your Man,Tammy Wynette,1968,157893,53,0.776,0.563,0.331,0.000846,0.125,-9.681,0.0283,105.779,0.608,A,4,1960s,country
21,Swinging Doors,Super Hits Collection - 32 Songs - Swinging Doors,Merle Haggard,2005,172920,29,0.0234,0.79,0.523,0.00102,0.109,-7.627,0.0293,122.358,0.606,F,4,1960s,country
22,He'll Have to Go,The Essential Jim Reeves,Jim Reeves,1997-02-14,138640,55,0.909,0.554,0.186,0.00144,0.11,-15.846,0.0379,81.181,0.2,C#/Db,3,1960s,country
23,The Last Thing On My Mind,The Essential Porter Wagoner & Dolly Parton,Porter Wagoner,2015-10-02,156160,50,0.563,0.611,0.412,0.0,0.24,-12.513,0.0282,105.811,0.713,B,4,1960s,country
24,I've Got A Tiger By The Tail - 2006 Remastered Version,21 #1 Hits: The Ultimate Collection,Buck Owens,2006-08-01,133866,51,0.595,0.701,0.497,3.12e-05,0.118,-10.05,0.0316,96.513,0.963,E,4,1960s,country
25,A Boy Named Sue - Live Version,The Greatest: The Number Ones,Johnny Cash,2012-08-07,225266,0,0.758,0.688,0.445,0.0,0.71,-11.974,0.198,101.636,0.92,A#/Bb,4,1960s,country
26,Crazy - Single Version,Gold,Patsy Cline,2005,162133,0,0.896,0.508,0.189,0.000524,0.0793,-13.191,0.0356,104.86,0.444,A#/Bb,3,1960s,country
27,Little Green Apples - Single Version,All Time Greatest Hits,Roger Miller,2003-01-01,157960,0,0.879,0.506,0.182,0.0892,0.134,-17.9,0.0552,101.797,0.398,C,4,1960s,country
28,I've Been Everywhere - Remastered,The Essential Hank Snow,Hank Snow,2013-11-19,164640,45,0.551,0.449,0.537,0.000148,0.412,-13.138,0.0392,119.689,0.961,F#/Gb,4,1960s,country
29,The Race Is On,Best Of,George Jones,2013-01-01,126533,0,0.454,0.465,0.674,0.0,0.233,-8.318,0.0833,171.246,0.923,A,4,1960s,country
30,Don't Worry,The Story Of My Life: The Best Of Marty Robbins 1952-1965,Marty Robbins,1996-03-12,194160,47,0.879,0.648,0.165,0.000216,0.13,-16.446,0.0348,99.585,0.435,E,4,1960s,country
31,Yesterday When I Was Young,The Best Of Roy Clark,Roy Clark,2005-08-09,200240,0,0.555,0.328,0.365,0.0,0.146,-13.772,0.0582,178.103,0.344,D,4,1960s,country
32,Ring of Fire,The Essential Johnny Cash,Johnny Cash,2002-02-12,155706,60,0.267,0.661,0.517,0.000158,0.431,-8.004,0.0269,104.563,0.676,G,4,1960s,country
33,Wichita Lineman - Remastered 2001,Wichita Lineman (Remastered),Glen Campbell,1968,186200,65,0.326,0.192,0.392,0.000199,0.248,-11.667,0.0328,172.312,0.391,F,4,1960s,country
34,Together Again,Together Again / My Heart Skips a Beat,Buck Owens,1995-05-17,148400,0,0.585,0.413,0.254,0.0469,0.138,-9.899,0.0281,76.904,0.526,C#/Db,4,1960s,country
35,She Thinks I Still Care - Single Version,Best Of,George Jones,2013-01-01,153333,0,0.642,0.552,0.362,0.0,0.124,-9.847,0.0297,115.023,0.639,B,4,1960s,country
36,Dang Me,Super Hits,Roger Miller,1996,102400,52,0.705,0.564,0.378,0.000716,0.0723,-14.468,0.168,197.325,0.687,A,4,1960s,country
37,500 Miles Away from Home,Super Hits,Bobby Bare,2004-06-18,162506,46,0.659,0.519,0.374,6.88e-06,0.644,-13.115,0.0314,109.253,0.521,G,4,1960s,country
38,Green Green Grass Of Home,20 All-Time Greatest Hits,Porter Wagoner,1972,178266,29,0.651,0.679,0.202,0.000722,0.117,-17.938,0.0295,95.89,0.591,D#/Eb,4,1960s,country
39,Wings Of A Dove,Capitol Collectors Series,Ferlin Husky,1989-01-01,139093,46,0.54,0.498,0.555,0.0,0.26,-11.577,0.0468,184.891,0.888,E,3,1960s,country
40,Ballad Of Forty Dollars,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,2000-01-01,183400,0,0.334,0.6,0.843,0.0,0.346,-7.489,0.0462,115.081,0.866,D,4,1960s,country
41,Big Bad John,The Best Of Jimmy Dean,Jimmy Dean,1961,182560,56,0.596,0.516,0.457,0.0,0.106,-12.609,0.184,173.934,0.455,G#/Ab,4,1960s,country
42,Almost Persuaded,Almost Persuaded,David Houston,1966,176360,46,0.861,0.251,0.338,0.0,0.144,-11.897,0.0382,81.642,0.353,G#/Ab,3,1960s,country
43,Does My Ring Hurt Your Finger,The Essential Charley Pride,Charley Pride,1997-04-26,137493,0,0.649,0.454,0.326,0.0,0.129,-11.214,0.0283,107.64,0.708,B,4,1960s,country
44,Wolverton Mountain,Columbia Country Classics Volume 3: Americana,Various Artists,1954,177573,44,0.806,0.629,0.335,1.21e-06,0.217,-15.039,0.0499,157.193,0.834,A,4,1960s,country
45,Blue Kentucky Girl,Gold,Loretta Lynn,2006-01-01,160626,0,0.71,0.714,0.346,0.00232,0.0998,-11.666,0.0371,113.264,0.57,B,4,1960s,country
46,The Cold Hard Facts of Life,The Cold Hard Facts of Life,Porter Wagoner,1967-07-24,192946,44,0.851,0.516,0.438,0.0,0.403,-11.834,0.0321,132.519,0.42,C,4,1960s,country
47,Flowers On the Wall,Flowers On The Wall: The Essential Statler Brothers 1964-1969,The Statler Brothers,1996-03-12,138800,56,0.792,0.784,0.451,4.09e-05,0.115,-11.225,0.0723,100.303,0.78,G#/Ab,4,1960s,country
48,Abilene,Abilene,George Hamilton IV,1963-12-17,133333,47,0.445,0.63,0.448,1.43e-05,0.271,-15.015,0.0271,104.024,0.753,F,4,1960s,country
49,Girl On The Billboard,Son Of The South,Del Reeves,2007-04-12,157000,42,0.437,0.571,0.653,0.0,0.205,-9.043,0.0378,171.06,0.851,D,4,1960s,country
50,Skip a Rope,All-American Cowboy,Henson Cargill,1988,160784,51,0.608,0.623,0.51,0.00267,0.0699,-13.092,0.0374,145.604,0.54,F#/Gb,4,1960s,country
51,Don't Come Home A-Drinkin' (With Lovin' On Your Mind) - Single Version,The Definitive Collection,Loretta Lynn,2005-01-01,127520,44,0.725,0.75,0.571,3.5e-06,0.117,-8.573,0.057,83.31,0.946,C#/Db,4,1960s,country
52,Walk On By,Classic Country Gold,Various Artists,2005-01-01,140160,0,0.738,0.602,0.488,0.00352,0.254,-11.649,0.031,134.218,0.97,A#/Bb,4,1960s,country
53,Chug-A-Lug,The Very Best of…,Roger Miller,2006-01-01,123360,45,0.69,0.699,0.408,0.000219,0.145,-11.46,0.096,171.922,0.842,B,4,1960s,country
54,Just Between You and Me,Super Hits,Charley Pride,1996-10-14,134786,46,0.618,0.527,0.439,0.0,0.345,-11.593,0.0323,110.195,0.659,F#/Gb,4,1960s,country
55,The Carroll County Accident,The Essential Porter Wagoner,Porter Wagoner,1997-04-26,169200,41,0.346,0.643,0.504,0.0,0.247,-11.231,0.0395,91.688,0.705,G,4,1960s,country
56,I Don't Wanna Play House,Tammy's Greatest Hits,Tammy Wynette,1969,154626,47,0.806,0.546,0.258,1.06e-05,0.165,-12.894,0.0317,100.683,0.464,G,4,1960s,country
57,Branded Man - Remastered,Prison,Merle Haggard,2001-01-01,186800,43,0.386,0.731,0.465,0.0,0.0854,-8.133,0.03,120.877,0.519,D,4,1960s,country
58,Lonesome 7-7203,20 Greatest Hits,Hawkshaw Hawkins,2005,166053,26,0.812,0.616,0.332,0.000401,0.332,-13.455,0.0319,115.88,0.662,A,4,1960s,country
59,Walk Through This World With Me,Walk Through This World With Me,George Jones,1966,137960,34,0.449,0.435,0.295,0.000265,0.11,-9.043,0.0276,94.292,0.49,G,4,1960s,country
60,"Please Help Me, I'm Falling",RCA Country Legends,Hank Locklin,2003-03-03,141466,50,0.828,0.552,0.336,0.0,0.324,-10.712,0.0311,105.479,0.553,G,4,1960s,country
61,Above And Beyond,All-Time Greatest Hits,Buck Owens,2010-08-31,148000,44,0.597,0.52,0.525,0.0,0.0847,-7.449,0.0412,147.601,0.743,G#/Ab,5,1960s,country
62,It's Such A Pretty World Today,Lost Country Hits of the 60s,Various Artists,2013-01-01,150093,44,0.854,0.622,0.344,0.0,0.31,-12.833,0.0396,118.377,0.673,E,4,1960s,country
63,Fist City,Fist City,Loretta Lynn,1968-01-01,132447,0,0.711,0.657,0.558,0.0,0.334,-8.736,0.0413,77.849,0.906,C,4,1960s,country
64,Take Me,The Essential George Jones,George Jones,2006,140733,47,0.863,0.427,0.209,0.0,0.103,-13.851,0.0308,102.668,0.333,A,3,1960s,country
65,Bright Lights and Country Music,Greats,Bill Anderson,2012-07-02,161413,0,0.0985,0.669,0.407,2.2e-05,0.1,-11.588,0.0284,135.367,0.69,A,4,1960s,country
66,Homecoming - Single Version,Tom T. Hall's Greatest Hits,Tom T. Hall,1972-01-01,201000,0,0.943,0.638,0.301,0.00705,0.13,-17.691,0.0474,122.767,0.676,B,4,1960s,country
67,Phantom 309,20 All Time Greatest Hits,Red Sovine,2005,203733,32,0.801,0.363,0.549,0.0,0.255,-13.133,0.142,147.397,0.688,F,4,1960s,country
68,Welcome to My World,The Essential Jim Reeves,Jim Reeves,1997-02-14,152600,51,0.725,0.341,0.252,0.0594,0.287,-14.869,0.0288,81.058,0.399,D#/Eb,4,1960s,country
69,The Bottle Let Me Down,Vintage Collections,Merle Haggard,2010-01-01,168466,45,0.552,0.705,0.451,0.000845,0.118,-8.469,0.0275,125.86,0.704,D,4,1960s,country
70,"Saginaw, Michigan","Saginaw, Michigan",Lefty Frizzell,1964-07-01,182573,44,0.878,0.596,0.366,0.00263,0.23,-14.933,0.0325,145.717,0.853,A#/Bb,4,1960s,country
71,Leavin' On Your Mind - Single Version,Sweet Dreams: Her Complete Decca Masters (1960-1963),Patsy Cline,2010-01-01,144040,0,0.88,0.476,0.237,7.73e-06,0.485,-12.795,0.0292,104.614,0.4,G,3,1960s,country
72,Wine Me Up,Hello Walls,Faron Young,2013-10-23,144120,44,0.133,0.547,0.254,8.24e-05,0.263,-16.548,0.0461,139.65,0.903,A,4,1960s,country
