,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist
33,I've Been Everywhere - Remastered,The Essential Hank Snow,Hank Snow,2013-11-19,164640,45,0.551,0.449,0.537,0.000148,0.412,-13.138,0.0392,119.689,0.961,6,4,1960s
34,Dang Me,Super Hits,Roger Miller,1996,102400,51,0.705,0.564,0.378,0.000716,0.0723,-14.468,0.168,197.325,0.687,9,4,1960s
35,Together Again,Together Again / My Heart Skips a Beat,Buck Owens,1995-05-17,148400,0,0.585,0.413,0.254,0.0469,0.138,-9.899,0.0281,76.904,0.526,1,4,1960s
36,Blue Kentucky Girl,Gold,Loretta Lynn,2006-01-01,160626,0,0.71,0.714,0.346,0.00232,0.0998,-11.666,0.0371,113.264,0.57,11,4,1960s
37,Ring of Fire,The Essential Johnny Cash,Johnny Cash,2002-02-12,155706,60,0.267,0.661,0.517,0.000158,0.431,-8.004,0.0269,104.563,0.676,7,4,1960s
38,He'll Have to Go,The Essential Jim Reeves,Jim Reeves,1997-02-14,138640,54,0.909,0.554,0.186,0.00144,0.11,-15.846,0.0379,81.181,0.2,1,3,1960s
39,Ballad Of Forty Dollars,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,2000-01-01,183400,0,0.334,0.6,0.843,0.0,0.346,-7.489,0.0462,115.081,0.866,2,4,1960s
40,Almost Persuaded,Almost Persuaded,David Houston,1966,176360,46,0.861,0.251,0.338,0.0,0.144,-11.897,0.0382,81.642,0.353,8,3,1960s
41,Walk On By,Classic Country Gold,Various Artists,2005-01-01,140160,0,0.738,0.602,0.488,0.00352,0.254,-11.649,0.031,134.218,0.97,10,4,1960s
42,Abilene,Abilene,George Hamilton IV,1963-12-17,133333,47,0.445,0.63,0.448,1.43e-05,0.271,-15.015,0.0271,104.024,0.753,5,4,1960s
43,Chug-A-Lug,The Very Best of…,Roger Miller,2006-01-01,123360,45,0.69,0.699,0.408,0.000219,0.145,-11.46,0.096,171.922,0.842,11,4,1960s
44,The Cold Hard Facts of Life,The Cold Hard Facts of Life,Porter Wagoner,1967-07-24,192946,44,0.851,0.516,0.438,0.0,0.403,-11.834,0.0321,132.519,0.42,0,4,1960s
45,Stand By Your Man,Stand By Your Man,Tammy Wynette,1968,157893,53,0.776,0.563,0.331,0.000846,0.125,-9.681,0.0283,105.779,0.608,9,4,1960s
46,Wine Me Up,Hello Walls,Faron Young,2013-10-23,144120,44,0.133,0.547,0.254,8.24e-05,0.263,-16.548,0.0461,139.65,0.903,9,4,1960s
47,Stop the World (And Let Me Off),RCA Country Legends: Waylon Jennings,Waylon Jennings,2001,122693,0,0.498,0.407,0.816,0.0885,0.116,-4.821,0.0389,87.578,0.779,2,4,1960s
48,Wichita Lineman - Remastered 2001,Wichita Lineman (Remastered),Glen Campbell,1968,186200,65,0.326,0.192,0.392,0.000199,0.248,-11.667,0.0328,172.312,0.391,5,4,1960s
49,Wings Of A Dove,Capitol Collectors Series,Ferlin Husky,1989-01-01,139093,46,0.54,0.498,0.555,0.0,0.26,-11.577,0.0468,184.891,0.888,4,3,1960s
50,Green Green Grass Of Home,20 All-Time Greatest Hits,Porter Wagoner,1972,178266,31,0.651,0.679,0.202,0.000722,0.117,-17.938,0.0295,95.89,0.591,3,4,1960s
51,Take Me,The Essential George Jones,George Jones,2006,140733,47,0.863,0.427,0.209,0.0,0.103,-13.851,0.0308,102.668,0.333,9,3,1960s
52,Little Green Apples - Single Version,All Time Greatest Hits,Roger Miller,2003-01-01,157960,0,0.879,0.506,0.182,0.0892,0.134,-17.9,0.0552,101.797,0.398,0,4,1960s
53,Fist City,Fist City,Loretta Lynn,1968-01-01,132447,0,0.711,0.657,0.558,0.0,0.334,-8.736,0.0413,77.849,0.906,0,4,1960s
54,"Saginaw, Michigan","Saginaw, Michigan",Lefty Frizzell,1964-07-01,182573,43,0.878,0.596,0.366,0.00263,0.23,-14.933,0.0325,145.717,0.853,10,4,1960s
55,Homecoming - Single Version,Tom T. Hall's Greatest Hits,Tom T. Hall,1972-01-01,201000,0,0.943,0.638,0.301,0.00705,0.13,-17.691,0.0474,122.767,0.676,11,4,1960s
56,Misery Loves Company,The Best Of The Best,Porter Wagoner,2005,149546,26,0.534,0.455,0.441,0.0,0.124,-11.119,0.08,189.169,0.633,5,3,1960s
57,I Don't Wanna Play House,Tammy's Greatest Hits,Tammy Wynette,1969,154626,47,0.806,0.546,0.258,1.06e-05,0.165,-12.894,0.0317,100.683,0.464,7,4,1960s
58,Girl On The Billboard,Son Of The South,Del Reeves,2007-04-12,157000,42,0.437,0.571,0.653,0.0,0.205,-9.043,0.0378,171.06,0.851,2,4,1960s
59,Lonesome 7-7203,20 Greatest Hits,Hawkshaw Hawkins,2005,166053,27,0.812,0.616,0.332,0.000401,0.332,-13.455,0.0319,115.88,0.662,9,4,1960s
60,The Image of Me,Timeless,Conway Twitty,2017-10-06,177333,44,0.338,0.557,0.438,8.17e-06,0.136,-6.034,0.0268,87.895,0.45,9,3,1960s
61,Standing In The Shadows,"The Best Of Hank Williams, Jr. 20th Century Masters The Millennium Collection","Hank Williams, Jr.",2004-01-01,189573,37,0.902,0.524,0.3,0.0192,0.156,-14.508,0.0354,98.107,0.544,2,4,1960s
62,Don't Come Home A-Drinkin' (With Lovin' On Your Mind) - Single Version,The Definitive Collection,Loretta Lynn,2005-01-01,127520,43,0.725,0.75,0.571,3.5e-06,0.117,-8.573,0.057,83.31,0.946,1,4,1960s
63,Leavin' On Your Mind - Single Version,Sweet Dreams: Her Complete Decca Masters (1960-1963),Patsy Cline,2010-01-01,144040,0,0.88,0.476,0.237,7.73e-06,0.485,-12.795,0.0292,104.614,0.4,7,3,1960s
64,The Last Thing On My Mind,The Essential Porter Wagoner & Dolly Parton,Porter Wagoner,2015-10-02,156160,50,0.563,0.611,0.412,0.0,0.24,-12.513,0.0282,105.811,0.713,11,4,1960s
65,Bright Lights and Country Music,Greats,Bill Anderson,2012-07-02,161413,0,0.0985,0.669,0.407,2.2e-05,0.1,-11.588,0.0284,135.367,0.69,9,4,1960s
66,Does My Ring Hurt Your Finger,The Essential Charley Pride,Charley Pride,1997-04-26,137493,0,0.649,0.454,0.326,0.0,0.129,-11.214,0.0283,107.64,0.708,11,4,1960s
67,Make the World Go Away,The Essential Eddy Arnold,Eddy Arnold,2013-11-19,157826,43,0.926,0.214,0.215,9.33e-05,0.121,-11.312,0.0318,205.359,0.477,1,3,1960s
68,It's Such A Pretty World Today,Lost Country Hits of the 60s,Various Artists,2013-01-01,150093,43,0.854,0.622,0.344,0.0,0.31,-12.833,0.0396,118.377,0.673,4,4,1960s
69,Wolverton Mountain,Columbia Country Classics Volume 3: Americana,Various Artists,1954,177573,43,0.806,0.629,0.335,1.21e-06,0.217,-15.039,0.0499,157.193,0.834,9,4,1960s
70,Talk Back Trembling Lips,Greatest Hits,Ernest Ashworth,1991-04-15,160440,41,0.751,0.575,0.435,0.0,0.0795,-11.801,0.0326,135.955,0.739,9,4,1960s
71,Phantom 309,20 All Time Greatest Hits,Red Sovine,2005,203733,33,0.801,0.363,0.549,0.0,0.255,-13.133,0.142,147.397,0.688,5,4,1960s
72,Honey - 1991 - Remaster,Honey - The Best of Bobby Goldsboro,Bobby Goldsboro,1991,239066,0,0.21,0.5,0.189,3.08e-05,0.129,-17.563,0.0307,93.259,0.587,7,4,1960s
73,The Carroll County Accident,The Essential Porter Wagoner,Porter Wagoner,1997-04-26,169200,41,0.346,0.643,0.504,0.0,0.247,-11.231,0.0395,91.688,0.705,7,4,1960s
74,The Bottle Let Me Down,Vintage Collections,Merle Haggard,2010-01-01,168466,45,0.552,0.705,0.451,0.000845,0.118,-8.469,0.0275,125.86,0.704,2,4,1960s
75,Above And Beyond,All-Time Greatest Hits,Buck Owens,2010-08-31,148000,43,0.597,0.52,0.525,0.0,0.0847,-7.449,0.0412,147.601,0.743,8,5,1960s
76,"Please Help Me, I'm Falling",RCA Country Legends,Hank Locklin,2003-03-03,141466,50,0.828,0.552,0.336,0.0,0.324,-10.712,0.0311,105.479,0.553,7,4,1960s
77,A Six Pack To Go,20 Greatest Hits,Hank Thompson,2005,129360,29,0.489,0.67,0.413,0.00251,0.119,-14.734,0.18,165.823,0.593,9,4,1960s
78,D-I-V-O-R-C-E,Tammy's Greatest Hits,Tammy Wynette,1969,175253,44,0.836,0.619,0.33,0.0,0.154,-11.332,0.0295,99.353,0.602,9,4,1960s
79,Right Or Wrong,The Ultimate Collection,Wanda Jackson,2007-01-01,157160,42,0.814,0.425,0.291,0.0,0.143,-10.554,0.0315,114.571,0.393,7,4,1960s
